city,neighborhood,zip_code,street_name,street_number,floor,floor_location,door,property_type,construction_date,renovation_year,number_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_balconies,number_of_garages,number_of_parking,number_of_floors,number_of_units,living_area,total_area,is_barrier_free,heating_type,has_energy_certificate,has_garage,has_parking,has_balcony,price,lon,lat
Nürnberg,Katzwang,90453,Cottbuser Straße,21,,,,single_family_house,1985-02-19,,,,,,,,,1.0,141.0,272.0,,,,,False,,328897.0,11.055071,49.362500000000004
Nürnberg,Nürnberg                  ,90453,Gallasstraße,13,,,,multi_family_house,1997-04-11,,,,,,,,,2.0,348.0,604.0,,,,,False,,679802.0,11.019644999999999,49.374691000000006
Nürnberg,Großreuth b. Schweinau,90431,Henftlingstraße,17,,,,multi_family_house,1978-03-05,,,,,,,,,7.0,677.0,672.0,,,,,False,,1622228.0,11.029497,49.434582999999996
Nürnberg,Gaismannshof,90431,Neustädter Straße,146 a,,,,single_family_house,1938-02-02,,,,,,,,,1.0,135.0,784.0,,,,,False,,476336.0,11.021894000000001,49.455197
Nürnberg,St. Jobst,90491,Steuerwald-Landmann-Straße,19,,,,single_family_house,1925-07-06,,,,,,,,,1.0,137.0,474.0,,,,,False,,517366.0,11.120354,49.466255000000004
Nürnberg,"Altstadt, St. Sebald",90403,Tucherstraße,19,,,,multi_family_house,1952-08-01,,,,,,,,,6.0,473.0,323.0,,,,,False,,1333696.0,11.080857,49.454556000000004
Nürnberg,St. Jobst,90491,Witzlebenstraße,37,,,,single_family_house,1951-07-11,,,,,,,,,1.0,102.0,268.0,,,,,False,,420958.0,11.113537,49.464464
Nürnberg,Marienberg ,90411,Kilianstraße,225,,,,multi_family_house,1953-09-12,,,,,,,,,4.0,286.0,577.0,,,,,False,,975895.0,11.100434,49.474734000000005
Nürnberg,Eibach,90451,Schußleitenweg,15,,,,single_family_house,1920-08-07,,,,,,,,,1.0,96.0,339.0,,,,,False,,388747.0,11.031852,49.409186
Nürnberg,St. Johannis,90419,Sandrartstraße,45,,,,,1891-09-25,,,,,,,,,12.0,905.0,603.0,,,,,False,,2948380.0,11.062913,49.460715
Nürnberg,"Kornburg, Worzeldorf",90455,Von-Nassau-Weg,38,,,,multi_family_house,1989-04-04,,,,,,,,,1.0,96.0,269.0,,,,,False,,219409.0,11.101176,49.359535
Nürnberg,Katzwang,90453,Rennbahnstraße,38,,,,,1955-05-04,,,,,,,,,2.0,212.0,578.0,,,,,False,,554947.0,11.038447999999999,49.372369000000006
Nürnberg,Reichelsdorf,90453,Döppelstraße,9,,,,multi_family_house,1986-01-11,,,,,,,,,13.0,1067.0,995.0,,,,,False,,2429646.0,11.031088,49.388059
Nürnberg,Gleißhammer,90480,Freyunger Straße,19,,,,,1989-04-17,,,,,,,,,1.0,114.0,346.0,,,,,False,,575099.0,11.118245,49.450189
Nürnberg,Himpfelshof,90429,Himpfelshofstraße,14,,,,multi_family_house,1906-10-12,,,,,,,,,14.0,978.0,332.0,,,,,False,,3458250.0,11.06132,49.452335000000005
Nürnberg,Gartenstadt,90469,Pachelbelstraße,94,,,,multi_family_house,1967-06-02,,,,,,,,,3.0,257.0,708.0,,,,,False,,658500.0,11.07752,49.410008
